gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B	DC	Ery	Gran	HSPC	Mono	NK	T
VWF	P04275	False	VWF_HUMAN		CPI-SS0B5E172D4	0.0	0.0	0.0	0.0	0.039	0.0	0.0	0.0
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS08FF78F4C	0.008	0.304	0.087	0.139	0.006	0.403	0.0	0.005
LRPAP1	P30533	False	LRPAP1_HUMAN		CPI-SS0B071ED24	0.32	0.553	0.391	0.661	0.396	0.649	0.506	0.436
PAPLN	O95428	False	PAPLN_HUMAN		CPI-SS0AEA3C14B	0.008	0.011	0.011	0.0	0.003	0.019	0.006	0.006
CSF1	P09603	False	CSF1_HUMAN		CPI-SS068C129D6	0.0	0.0	0.263	0.0	0.115	0.002	0.0	0.014
POMC	P01189	False	POMC_HUMAN		CPI-SS03A447CA2	0.093	0.126	0.319	0.142	0.212	0.106	0.155	0.1
ARPC5	O15511	False	ARPC5_HUMAN		CPI-SS062878498	0.866	1.864	0.637	1.868	0.967	1.862	1.173	0.987
AVP	P01185	False	AVP_HUMAN		CPI-SS0BBCAED13	0.0	0.016	0.0	0.001	0.947	0.002	0.0	0.0
INSR	P06213	False	INSR_HUMAN		CPI-SS0C5FB41E8	0.01	0.156	0.153	0.186	0.092	0.13	0.0	0.003
IL1B	P01584	False	IL1B_HUMAN		CPI-SS0C6448B94	0.005	0.476	0.104	0.077	0.257	0.25	0.003	0.005
MBP	P02686	False	MBP_HUMAN		CPI-SS0C25DA9FF	0.334	0.608	0.302	0.303	0.406	0.548	1.144	0.893
RLN2	P04090	False	RLN2_HUMAN		CPI-SS0BA0457D3	0.012	0.0	0.015	0.0	0.038	0.001	0.0	0.015
PRNP	P04156	False	PRNP_HUMAN		CPI-SS08BC9FF17	0.114	0.221	0.192	0.242	0.151	0.287	0.16	0.133
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS04D87448A	0.634	1.487	0.641	1.444	0.88	1.511	0.805	0.757
POMC	P01189	False	POMC_HUMAN		CPI-SS012FD886E	0.093	0.126	0.319	0.142	0.212	0.106	0.155	0.1
AVP	P01185	False	AVP_HUMAN		CPI-SS010DF4808	0.0	0.016	0.0	0.001	0.947	0.002	0.0	0.0
RLN2	P04090	False	RLN2_HUMAN		CPI-SS0FB2E9FF3	0.012	0.0	0.015	0.0	0.038	0.001	0.0	0.015
SCT	P09683	False	SCT_HUMAN		CPI-SS0C6FEEA14	0.0	0.017	0.0	0.002	0.048	0.0	0.0	0.0
FN1	P02751	False	FN1_HUMAN		CPI-SS0E2696443	0.015	0.0	0.012	0.0	0.011	0.001	0.0	0.004
POMC	P01189	False	POMC_HUMAN		CPI-SS032869B21	0.093	0.126	0.319	0.142	0.212	0.106	0.155	0.1
AVP	P01185	False	AVP_HUMAN		CPI-SS00D55E7F1	0.0	0.016	0.0	0.001	0.947	0.002	0.0	0.0
RLN2	P04090	False	RLN2_HUMAN		CPI-SS07D7A06C1	0.012	0.0	0.015	0.0	0.038	0.001	0.0	0.015
SCT	P09683	False	SCT_HUMAN		CPI-SS0EC70F078	0.0	0.017	0.0	0.002	0.048	0.0	0.0	0.0
CALM1	P0DP23	False	CALM1_HUMAN		CPI-SS09F6EBE93	1.351	2.088	1.416	2.202	1.038	1.833	2.746	2.589
PTMA	P06454	False	PTMA_HUMAN		CPI-SS09EF65834	3.561	3.517	4.103	3.93	3.916	3.164	3.462	3.449
POMC	P01189	False	POMC_HUMAN		CPI-SS03F2D0912	0.093	0.126	0.319	0.142	0.212	0.106	0.155	0.1
AVP	P01185	False	AVP_HUMAN		CPI-SS0921F19C4	0.0	0.016	0.0	0.001	0.947	0.002	0.0	0.0
RLN2	P04090	False	RLN2_HUMAN		CPI-SS0527B9DF1	0.012	0.0	0.015	0.0	0.038	0.001	0.0	0.015
SCT	P09683	False	SCT_HUMAN		CPI-SS06B1428D4	0.0	0.017	0.0	0.002	0.048	0.0	0.0	0.0
ADM	P35318	False	ADM_HUMAN		CPI-SS07297A3AD	0.002	0.019	0.022	0.074	0.003	0.136	0.004	0.005
INSL3	P51460	False	INSL3_HUMAN		CPI-SS055FC8123	0.006	0.0	0.0	0.0	0.009	0.001	0.007	0.003
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS0422FB94A	0.634	1.487	0.641	1.444	0.88	1.511	0.805	0.757
POMC	P01189	False	POMC_HUMAN		CPI-SS096DDDCBC	0.093	0.126	0.319	0.142	0.212	0.106	0.155	0.1
CXCL10	P02778	False	CXCL10_HUMAN		CPI-SS094013D10	0.0	0.006	0.0	0.0	0.0	0.045	0.0	0.0
APP	P05067	False	APP_HUMAN		CPI-SS0BCB0DBB3	0.165	0.316	0.095	0.407	0.355	0.324	0.017	0.044
C3	P01024	False	C3_HUMAN		CPI-SS09A4BB81D	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0
PF4	P02776	False	PF4_HUMAN		CPI-SS080900D13	0.0	0.0	0.145	0.0	0.044	0.0	0.0	0.0
CORT	O00230	False	CORT_HUMAN		CPI-SS0E176DAD6	0.003	0.0	0.012	0.011	0.004	0.0	0.0	0.0
C5	P01031	False	C5_HUMAN		CPI-SS0206FC5C4	0.009	0.022	0.0	0.035	0.012	0.015	0.0	0.006
PPBP	P02775	False	PPBP_HUMAN		CPI-SS0B39D5003	0.002	0.0	0.179	0.0	0.0	0.002	0.0	0.001
ANXA1	P04083	False	ANXA1_HUMAN		CPI-SS0833E9829	0.038	2.225	0.325	2.422	1.035	2.095	1.28	1.651
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS0AA82A168	0.634	1.487	0.641	1.444	0.88	1.511	0.805	0.757
CXCL10	P02778	False	CXCL10_HUMAN		CPI-SS080683E15	0.0	0.006	0.0	0.0	0.0	0.045	0.0	0.0
PF4	P02776	False	PF4_HUMAN		CPI-SS01A6823FA	0.0	0.0	0.145	0.0	0.044	0.0	0.0	0.0
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0BF944C6D	0.017	0.014	0.116	0.043	0.009	0.023	2.784	2.9
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS05E6C34AB	0.634	1.487	0.641	1.444	0.88	1.511	0.805	0.757
APP	P05067	False	APP_HUMAN		CPI-SS09A4576D9	0.165	0.316	0.095	0.407	0.355	0.324	0.017	0.044
PDGFRB	P09619	False	PDGFRB_HUMAN		CPI-SS03FB81012	0.0	0.0	0.0	0.007	0.0	0.001	0.029	0.007
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS0122128E0	0.3	0.616	0.325	0.571	0.417	0.818	1.083	0.764
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS086F43A39	0.009	0.135	0.0	0.054	0.0	0.118	0.024	0.014
DPP4	P27487	False	DPP4_HUMAN		CPI-SS0187EE42A	0.0	0.042	0.0	0.003	0.005	0.0	0.0	0.063
HRAS	P01112	False	HRAS_HUMAN		CPI-SS07D0E29D8	0.058	0.117	0.228	0.112	0.145	0.096	0.094	0.091
ESR1	P03372	False	ESR1_HUMAN		CPI-SS0126A9645	0.0	0.012	0.0	0.005	0.004	0.001	0.0	0.009
EPHA2	P29317	False	EPHA2_HUMAN		CPI-SS0398E864A	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0
PTGS2	P35354	False	PTGS2_HUMAN		CPI-SS0D4BE9D37	0.004	0.336	0.0	0.239	0.076	0.329	0.004	0.005
GNAI2	P04899	False	GNAI2_HUMAN		CPI-SS03666DA7A	0.634	1.487	0.641	1.444	0.88	1.511	0.805	0.757
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0B01D306C	0.017	0.014	0.116	0.043	0.009	0.023	2.784	2.9
CD4	P01730	False	CD4_HUMAN		CPI-SS0ABB32BF0	0.0	0.361	0.042	0.171	0.017	0.401	0.0	0.08
CCL2	P13500	False	CCL2_HUMAN		CPI-SS0B9E7D0EC	0.002	0.0	0.0	0.03	0.0	0.014	0.0	0.0
