id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	B|B	B|DC	B|Ery	B|Gran	B|HSPC	B|Mono	B|NK	B|T	DC|B	DC|DC	DC|Ery	DC|Gran	DC|HSPC	DC|Mono	DC|NK	DC|T	Ery|B	Ery|DC	Ery|Ery	Ery|Gran	Ery|HSPC	Ery|Mono	Ery|NK	Ery|T	Gran|B	Gran|DC	Gran|Ery	Gran|Gran	Gran|HSPC	Gran|Mono	Gran|NK	Gran|T	HSPC|B	HSPC|DC	HSPC|Ery	HSPC|Gran	HSPC|HSPC	HSPC|Mono	HSPC|NK	HSPC|T	Mono|B	Mono|DC	Mono|Ery	Mono|Gran	Mono|HSPC	Mono|Mono	Mono|NK	Mono|T	NK|B	NK|DC	NK|Ery	NK|Gran	NK|HSPC	NK|Mono	NK|NK	NK|T	T|B	T|DC	T|Ery	T|Gran	T|HSPC	T|Mono	T|NK	T|T
CPI-SS0B5E172D4	VWF_SIRPA	simple:P04275	simple:P78324	VWF	SIRPA	False	False	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.05	0.023	0.085	0.033	0.215	0.0	0.024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS08FF78F4C	VEGFA_SIRPA	simple:P15692	simple:P78324	VEGFA	SIRPA	False	False	False	user_curated	False	0.016	0.043	0.016	0.077	0.026	0.207	0.0	0.017	0.116	0.143	0.116	0.178	0.126	0.308	0.0	0.117	0.053	0.079	0.053	0.114	0.063	0.244	0.0	0.054	0.181	0.208	0.181	0.243	0.191	0.372	0.0	0.182	0.108	0.135	0.108	0.17	0.118	0.299	0.0	0.109	0.582	0.608	0.582	0.643	0.592	0.773	0.0	0.583	0.023	0.05	0.023	0.085	0.033	0.215	0.0	0.024	0.017	0.044	0.017	0.079	0.027	0.209	0.0	0.018
CPI-SS0B071ED24	LRPAP1_SIRPA	simple:P30533	simple:P78324	LRPAP1	SIRPA	False	False	False	user_curated	False	0.102	0.129	0.102	0.164	0.112	0.294	0.0	0.103	0.094	0.12	0.094	0.155	0.104	0.285	0.0	0.095	0.094	0.12	0.094	0.155	0.104	0.285	0.0	0.095	0.142	0.168	0.142	0.203	0.152	0.333	0.0	0.143	0.132	0.159	0.132	0.194	0.142	0.323	0.0	0.133	0.152	0.179	0.153	0.214	0.163	0.344	0.0	0.154	0.113	0.14	0.113	0.175	0.123	0.304	0.0	0.114	0.087	0.114	0.087	0.149	0.097	0.278	0.0	0.088
CPI-SS0AEA3C14B	PAPLN_SIRPA	simple:O95428	simple:P78324	PAPLN	SIRPA	False	False	False	user_curated	False	0.005	0.032	0.005	0.067	0.015	0.197	0.0	0.006	0.013	0.039	0.013	0.074	0.023	0.204	0.0	0.014	0.004	0.031	0.004	0.066	0.014	0.196	0.0	0.005	0.005	0.031	0.005	0.066	0.015	0.196	0.0	0.006	0.006	0.032	0.006	0.067	0.016	0.197	0.0	0.007	0.009	0.036	0.009	0.071	0.019	0.2	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.034	0.008	0.069	0.018	0.199	0.0	0.009
CPI-SS068C129D6	CSF1_SIRPA	simple:P09603	simple:P78324	CSF1	SIRPA	False	False	False	user_curated	False	0.005	0.031	0.005	0.066	0.015	0.196	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.047	0.074	0.047	0.109	0.057	0.239	0.0	0.048	0.004	0.031	0.004	0.066	0.014	0.196	0.0	0.005	0.014	0.041	0.014	0.076	0.024	0.206	0.0	0.015	0.011	0.038	0.011	0.073	0.021	0.202	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.037	0.011	0.072	0.021	0.202	0.0	0.012
CPI-SS03A447CA2	POMC_ADRB2	simple:P01189	simple:P07550	POMC	ADRB2	False	False	False	user_curated	False	0.018	0.031	0.0	0.051	0.025	0.043	0.074	0.041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.068	0.081	0.0	0.101	0.075	0.093	0.124	0.091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.029	0.0	0.048	0.022	0.04	0.071	0.038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.056	0.069	0.0	0.088	0.062	0.08	0.112	0.078	0.017	0.03	0.0	0.05	0.024	0.042	0.073	0.04
CPI-SS062878498	ARPC5_ADRB2	simple:O15511	simple:P07550	ARPC5	ADRB2	False	False	False	user_curated	False	0.081	0.095	0.0	0.114	0.088	0.106	0.137	0.104	0.32	0.333	0.0	0.352	0.326	0.345	0.376	0.342	0.102	0.115	0.0	0.135	0.109	0.127	0.158	0.125	0.399	0.412	0.0	0.431	0.405	0.423	0.455	0.421	0.283	0.296	0.0	0.316	0.289	0.308	0.339	0.305	0.359	0.372	0.0	0.391	0.365	0.384	0.415	0.381	0.39	0.403	0.0	0.423	0.396	0.415	0.446	0.412	0.099	0.112	0.0	0.131	0.105	0.123	0.155	0.121
CPI-SS0BBCAED13	AVP_ADRB2	simple:P01185	simple:P07550	AVP	ADRB2	False	False	False	user_curated	False	0.007	0.02	0.0	0.039	0.013	0.032	0.063	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.019	0.0	0.039	0.013	0.031	0.062	0.029	0.003	0.016	0.0	0.036	0.009	0.028	0.059	0.025	0.342	0.355	0.0	0.375	0.349	0.367	0.398	0.365	0.003	0.016	0.0	0.035	0.009	0.027	0.059	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.017	0.0	0.037	0.011	0.029	0.06	0.027
CPI-SS0C5FB41E8	INSR_ADRB2	simple:P06213	simple:P07550	INSR	ADRB2	False	False	False	user_curated	False	0.016	0.029	0.0	0.049	0.023	0.041	0.072	0.039	0.07	0.083	0.0	0.103	0.076	0.095	0.126	0.092	0.11	0.123	0.0	0.142	0.116	0.134	0.165	0.132	0.133	0.146	0.0	0.165	0.139	0.157	0.189	0.155	0.069	0.082	0.0	0.102	0.076	0.094	0.125	0.092	0.084	0.097	0.0	0.116	0.09	0.109	0.14	0.106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024	0.037	0.0	0.056	0.03	0.048	0.079	0.046
CPI-SS0C6448B94	IL1B_ADRB2	simple:P01584	simple:P07550	IL1B	ADRB2	False	False	False	user_curated	False	0.007	0.02	0.0	0.039	0.013	0.032	0.063	0.029	0.067	0.08	0.0	0.1	0.073	0.092	0.123	0.09	0.006	0.019	0.0	0.039	0.013	0.031	0.062	0.029	0.013	0.026	0.0	0.046	0.019	0.038	0.069	0.035	0.032	0.045	0.0	0.064	0.038	0.056	0.088	0.054	0.213	0.226	0.0	0.245	0.219	0.237	0.269	0.235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
